"","BPS_V","SCL_V","freq","X","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE"
"232",1972,"Other",95,65,241,14210,"52","14210_49_52","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909804,1,0.768627
"233",1972,"Developed",31,65,241,14210,"52","14210_49_52","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909804,1,0.768627
"234",1972,"Ag",112,65,241,14210,"52","14210_49_52","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909804,1,0.768627
"235",1973,"NatVeg",5680,66,50470,14710,"52","14710_49_52","Central Interior and Appalachian Floodplain Systems","Riparian",NA,426,68,59,NA,14,86,"III-A",0,191,176,0,0.74902,0.690196
"236",1973,"Other",11411,66,50470,14710,"52","14710_49_52","Central Interior and Appalachian Floodplain Systems","Riparian",NA,426,68,59,NA,14,86,"III-A",0,191,176,0,0.74902,0.690196
"237",1973,"Developed",6056,66,50470,14710,"52","14710_49_52","Central Interior and Appalachian Floodplain Systems","Riparian",NA,426,68,59,NA,14,86,"III-A",0,191,176,0,0.74902,0.690196
"238",1973,"Ag",27323,66,50470,14710,"52","14710_49_52","Central Interior and Appalachian Floodplain Systems","Riparian",NA,426,68,59,NA,14,86,"III-A",0,191,176,0,0.74902,0.690196
"239",1974,"NatVeg",65157,67,618367,14790,"52","14790_52_62","Central Interior and Appalachian Swamp Systems","Riparian",989,NA,NA,989,100,NA,NA,"V-B",207,61,255,0.811765,0.239216,1
"240",1974,"Other",28608,67,618367,14790,"52","14790_52_62","Central Interior and Appalachian Swamp Systems","Riparian",989,NA,NA,989,100,NA,NA,"V-B",207,61,255,0.811765,0.239216,1
"241",1974,"Developed",89467,67,618367,14790,"52","14790_52_62","Central Interior and Appalachian Swamp Systems","Riparian",989,NA,NA,989,100,NA,NA,"V-B",207,61,255,0.811765,0.239216,1
"242",1974,"Ag",435135,67,618367,14790,"52","14790_52_62","Central Interior and Appalachian Swamp Systems","Riparian",989,NA,NA,989,100,NA,NA,"V-B",207,61,255,0.811765,0.239216,1
"243",1975,"NatVeg",4940,68,57727,14920,"52","14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431,0.960784,0.792157
"244",1975,"Other",20140,68,57727,14920,"52","14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431,0.960784,0.792157
"245",1975,"Developed",16226,68,57727,14920,"52","14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431,0.960784,0.792157
"246",1975,"Ag",16421,68,57727,14920,"52","14920_41_50_51_52_63","Great Lakes Coastal Marsh Systems","Riparian",NA,NA,NA,NA,NA,NA,NA,NA,122,245,202,0.478431,0.960784,0.792157
"247",1976,"NatVeg",4459,69,12170,14930,"52","14930_52_62","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,NA,NA,17,100,NA,NA,"II-C",240,150,20,0.941176,0.588235,0.078431
"248",1976,"Other",1938,69,12170,14930,"52","14930_52_62","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,NA,NA,17,100,NA,NA,"II-C",240,150,20,0.941176,0.588235,0.078431
"249",1976,"Developed",1044,69,12170,14930,"52","14930_52_62","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,NA,NA,17,100,NA,NA,"II-C",240,150,20,0.941176,0.588235,0.078431
"250",1976,"Ag",4729,69,12170,14930,"52","14930_52_62","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,NA,NA,17,100,NA,NA,"II-C",240,150,20,0.941176,0.588235,0.078431
"251",1977,"NatVeg",12971,70,72681,15180,"52","15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,NA,NA,993,100,NA,NA,"V-B",211,237,38,0.827451,0.929412,0.14902
"252",1977,"Other",4003,70,72681,15180,"52","15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,NA,NA,993,100,NA,NA,"V-B",211,237,38,0.827451,0.929412,0.14902
"253",1977,"Developed",12606,70,72681,15180,"52","15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,NA,NA,993,100,NA,NA,"V-B",211,237,38,0.827451,0.929412,0.14902
"254",1977,"Ag",43101,70,72681,15180,"52","15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,NA,NA,993,100,NA,NA,"V-B",211,237,38,0.827451,0.929412,0.14902
"255",2017,"NatVeg",20877,71,126102,13100,"49","13100_49","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196,0.639216,0.870588
"256",2017,"Other",9354,71,126102,13100,"49","13100_49","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196,0.639216,0.870588
"257",2017,"Developed",15530,71,126102,13100,"49","13100_49","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196,0.639216,0.870588
"258",2017,"Ag",80341,71,126102,13100,"49","13100_49","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",75,47,23,13,17,27,56,"I-B",176,163,222,0.690196,0.639216,0.870588
"259",2018,"NatVeg",6223,72,26766,13110,"49","13110_49","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,149,11,9,7,6,87,"I-B",179,207,143,0.701961,0.811765,0.560784
"260",2018,"Other",2155,72,26766,13110,"49","13110_49","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,149,11,9,7,6,87,"I-B",179,207,143,0.701961,0.811765,0.560784
"261",2018,"Developed",3276,72,26766,13110,"49","13110_49","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,149,11,9,7,6,87,"I-B",179,207,143,0.701961,0.811765,0.560784
"262",2018,"Ag",15112,72,26766,13110,"49","13110_49","North-Central Interior Dry Oak Forest and Woodland","Hardwood",149,149,11,9,7,6,87,"I-B",179,207,143,0.701961,0.811765,0.560784
"263",2019,"NatVeg",5955,73,29953,13130,"49","13130_49_52_62","North-Central Interior Beech-Maple Forest","Hardwood",1026,NA,852,465,45,NA,55,"V-A",0,156,44,0,0.611765,0.172549
